date_surveyed,user_id,state,municipio,hour_wait
2020-10-14 20:58:03.542 UTC,5208310198304768,Distrito Capital,Libertador,24
2020-10-14 20:41:00.929 UTC,5905870596079616,Miranda,Guaicaipuro,3
2020-10-14 20:31:07.928 UTC,5227588691165184,Distrito Capital,Libertador,5
2020-10-14 20:09:29.819 UTC,5227588691165184,Miranda,Baruta,5
2020-10-14 20:00:11.935 UTC,5754274632171520,Distrito Capital,Libertador,11
2020-10-14 19:46:37.018 UTC,5910862901805056,Distrito Capital,Libertador,1
2020-10-14 19:01:11.186 UTC,6446867203489792,Táchira,San Cristóbal,12
2020-10-14 18:58:49.503 UTC,4514407737720832,Táchira,San Cristóbal,12
2020-10-14 18:31:30.374 UTC,6257416119517184,Distrito Capital,Libertador,6
2020-10-14 18:29:57.119 UTC,6257416119517184,Distrito Capital,Libertador,6
2020-10-14 18:11:37.830 UTC,6550952870412288,Miranda,Chacao,4
2020-10-14 17:49:04.900 UTC,5239548907094016,Distrito Capital,Libertador,9
2020-10-14 17:46:27.404 UTC,5307174327943168,Miranda,Guaicaipuro,8
2020-10-14 17:25:03.983 UTC,6162498919596032,Miranda,Guaicaipuro,5
2020-10-14 17:24:36.424 UTC,4762255471673344,Distrito Capital,Libertador,3
